date,count-nombre
2020-10-04,2
2020-10-11,251
2020-10-18,64
2020-10-25,112
2020-11-01,75
2020-11-08,66
2020-11-15,206
2020-11-22,222
2020-11-29,100
2020-12-06,47
2020-12-13,51
2020-12-20,2035
2020-12-27,27
2021-01-03,45
2021-01-10,145
2021-01-17,265
2021-01-24,183
2021-01-31,268
2021-02-07,135
2021-02-14,69
2021-02-21,116
2021-02-28,104
2021-03-07,71
2021-03-14,115
2021-03-21,12
2021-03-28,39
2021-04-04,47
2021-04-11,13
2021-04-18,30
2021-04-25,29
2021-05-02,46
2021-05-09,32
2021-05-16,14
2021-05-23,142
2021-05-30,21
2021-06-06,164
2021-06-13,11
2021-06-20,119
2021-06-27,25
2021-07-04,63
2021-07-11,102
2021-07-18,3
2021-07-25,0
2021-08-01,8
2021-08-08,7
2021-08-15,2
2021-08-22,0
2021-08-29,6
2021-09-05,2
2021-09-12,5
2021-09-19,9
2021-09-26,3
2021-10-03,9
2021-10-10,1
2021-10-17,6
2021-10-24,6
2021-10-31,5
2021-11-07,3
2021-11-14,3
2021-11-21,3
2021-11-28,8
2021-12-05,4
2021-12-12,2
2021-12-19,26
2021-12-26,4
2022-01-02,2
2022-01-09,13
2022-01-16,3
2022-01-23,6
2022-01-30,0
2022-02-06,2
2022-02-13,2
2022-02-20,0
2022-02-27,2
2022-03-06,2
2022-03-13,2
2022-03-20,4
2022-03-27,2
2022-04-03,4
2022-04-10,0
2022-04-17,1
2022-04-24,0
2022-05-01,0
2022-05-08,1
2022-05-15,0
2022-05-22,1
2022-05-29,0
2022-06-05,0
