date,region,count
2021-04-04,AB,<20
2021-04-04,BC,<20
2021-04-04,MB,<20
2021-04-04,NB,<20
2021-04-04,NL,<20
2021-04-04,NT,<20
2021-04-04,NS,<20
2021-04-04,NU,<20
2021-04-04,ON,<20
2021-04-04,PE,<20
2021-04-04,QC,<20
2021-04-04,SK,<20
2021-04-04,YT,<20
2021-04-04,NPTS,<20
2021-04-11,AB,<20
2021-04-11,BC,<20
2021-04-11,MB,<20
2021-04-11,NB,<20
2021-04-11,NL,<20
2021-04-11,NT,<20
2021-04-11,NS,<20
2021-04-11,NU,<20
2021-04-11,ON,<20
2021-04-11,PE,<20
2021-04-11,QC,<20
2021-04-11,SK,<20
2021-04-11,YT,<20
2021-04-11,NPTS,<20
2021-04-18,AB,<20
2021-04-18,BC,<20
2021-04-18,MB,<20
2021-04-18,NB,<20
2021-04-18,NL,<20
2021-04-18,NT,<20
2021-04-18,NS,<20
2021-04-18,NU,<20
2021-04-18,ON,<20
2021-04-18,PE,<20
2021-04-18,QC,<20
2021-04-18,SK,<20
2021-04-18,YT,<20
2021-04-18,NPTS,<20
2021-04-25,AB,<20
2021-04-25,BC,<20
2021-04-25,MB,<20
2021-04-25,NB,<20
2021-04-25,NL,<20
2021-04-25,NT,<20
2021-04-25,NS,<20
2021-04-25,NU,<20
2021-04-25,ON,<20
2021-04-25,PE,<20
2021-04-25,QC,<20
2021-04-25,SK,<20
2021-04-25,YT,<20
2021-04-25,NPTS,<20
2021-05-02,AB,<20
2021-05-02,BC,<20
2021-05-02,MB,<20
2021-05-02,NB,<20
2021-05-02,NL,<20
2021-05-02,NT,<20
2021-05-02,NS,<20
2021-05-02,NU,<20
2021-05-02,ON,<20
2021-05-02,PE,<20
2021-05-02,QC,<20
2021-05-02,SK,<20
2021-05-02,YT,<20
2021-05-02,NPTS,<20
2021-05-09,AB,<20
2021-05-09,BC,<20
2021-05-09,MB,<20
2021-05-09,NB,<20
2021-05-09,NL,<20
2021-05-09,NT,<20
2021-05-09,NS,<20
2021-05-09,NU,<20
2021-05-09,ON,<20
2021-05-09,PE,<20
2021-05-09,QC,<20
2021-05-09,SK,<20
2021-05-09,YT,<20
2021-05-09,NPTS,<20
2021-05-16,AB,<20
2021-05-16,BC,<20
2021-05-16,MB,<20
2021-05-16,NB,<20
2021-05-16,NL,<20
2021-05-16,NT,<20
2021-05-16,NS,<20
2021-05-16,NU,<20
2021-05-16,ON,<20
2021-05-16,PE,<20
2021-05-16,QC,<20
2021-05-16,SK,<20
2021-05-16,YT,<20
2021-05-16,NPTS,<20
