date,region,os-se,count-nombre
2021-02-25,AB,android,0
2021-02-25,AB,ios,0
2021-02-25,BC,android,0
2021-02-25,BC,ios,0
2021-02-25,MB,android,0
2021-02-25,MB,ios,1
2021-02-25,NB,android,0
2021-02-25,NB,ios,0
2021-02-25,NL,android,0
2021-02-25,NL,ios,0
2021-02-25,NT,android,0
2021-02-25,NT,ios,1
2021-02-25,NS,android,0
2021-02-25,NS,ios,0
2021-02-25,NU,android,0
2021-02-25,NU,ios,0
2021-02-25,ON,android,0
2021-02-25,ON,ios,0
2021-02-25,PE,android,0
2021-02-25,PE,ios,0
2021-02-25,QC,android,0
2021-02-25,QC,ios,1
2021-02-25,SK,android,0
2021-02-25,SK,ios,0
2021-02-25,YT,android,0
2021-02-25,YT,ios,0
2021-02-25,NPTS,android,2
2021-02-25,NPTS,ios,2
2021-02-26,AB,android,0
2021-02-26,AB,ios,0
2021-02-26,BC,android,0
2021-02-26,BC,ios,0
2021-02-26,MB,android,0
2021-02-26,MB,ios,1
2021-02-26,NB,android,0
2021-02-26,NB,ios,0
2021-02-26,NL,android,0
2021-02-26,NL,ios,0
2021-02-26,NT,android,0
2021-02-26,NT,ios,1
2021-02-26,NS,android,0
2021-02-26,NS,ios,0
2021-02-26,NU,android,0
2021-02-26,NU,ios,0
2021-02-26,ON,android,4
2021-02-26,ON,ios,3
2021-02-26,PE,android,0
2021-02-26,PE,ios,0
2021-02-26,QC,android,0
2021-02-26,QC,ios,1
2021-02-26,SK,android,0
2021-02-26,SK,ios,0
2021-02-26,YT,android,0
2021-02-26,YT,ios,0
2021-02-26,NPTS,android,1
2021-02-26,NPTS,ios,1
2021-02-27,AB,android,0
2021-02-27,AB,ios,0
2021-02-27,BC,android,0
2021-02-27,BC,ios,0
2021-02-27,MB,android,0
2021-02-27,MB,ios,1
2021-02-27,NB,android,0
2021-02-27,NB,ios,0
2021-02-27,NL,android,0
2021-02-27,NL,ios,0
2021-02-27,NT,android,0
2021-02-27,NT,ios,1
2021-02-27,NS,android,0
2021-02-27,NS,ios,0
2021-02-27,NU,android,0
2021-02-27,NU,ios,0
2021-02-27,ON,android,3
2021-02-27,ON,ios,2
2021-02-27,PE,android,0
2021-02-27,PE,ios,0
2021-02-27,QC,android,0
2021-02-27,QC,ios,1
2021-02-27,SK,android,0
2021-02-27,SK,ios,0
2021-02-27,YT,android,0
2021-02-27,YT,ios,0
2021-02-27,NPTS,android,1
2021-02-27,NPTS,ios,1
2021-02-28,AB,android,0
2021-02-28,AB,ios,0
2021-02-28,BC,android,0
2021-02-28,BC,ios,0
2021-02-28,MB,android,0
2021-02-28,MB,ios,1
2021-02-28,NB,android,0
2021-02-28,NB,ios,0
2021-02-28,NL,android,0
2021-02-28,NL,ios,0
2021-02-28,NT,android,0
2021-02-28,NT,ios,1
2021-02-28,NS,android,0
2021-02-28,NS,ios,0
2021-02-28,NU,android,0
2021-02-28,NU,ios,0
2021-02-28,ON,android,3
2021-02-28,ON,ios,1
2021-02-28,PE,android,0
2021-02-28,PE,ios,0
2021-02-28,QC,android,0
2021-02-28,QC,ios,1
2021-02-28,SK,android,0
2021-02-28,SK,ios,0
2021-02-28,YT,android,0
2021-02-28,YT,ios,0
2021-02-28,NPTS,android,0
2021-02-28,NPTS,ios,1
2021-03-01,AB,android,0
2021-03-01,AB,ios,0
2021-03-01,BC,android,0
2021-03-01,BC,ios,0
2021-03-01,MB,android,0
2021-03-01,MB,ios,1
2021-03-01,NB,android,0
2021-03-01,NB,ios,0
2021-03-01,NL,android,0
2021-03-01,NL,ios,0
2021-03-01,NT,android,0
2021-03-01,NT,ios,1
2021-03-01,NS,android,0
2021-03-01,NS,ios,0
2021-03-01,NU,android,0
2021-03-01,NU,ios,0
2021-03-01,ON,android,4
2021-03-01,ON,ios,1
2021-03-01,PE,android,0
2021-03-01,PE,ios,0
2021-03-01,QC,android,0
2021-03-01,QC,ios,2
2021-03-01,SK,android,0
2021-03-01,SK,ios,0
2021-03-01,YT,android,0
2021-03-01,YT,ios,0
2021-03-01,NPTS,android,0
2021-03-01,NPTS,ios,2
2021-03-02,AB,android,0
2021-03-02,AB,ios,0
2021-03-02,BC,android,0
2021-03-02,BC,ios,0
2021-03-02,MB,android,0
2021-03-02,MB,ios,0
2021-03-02,NB,android,0
2021-03-02,NB,ios,0
2021-03-02,NL,android,0
2021-03-02,NL,ios,0
2021-03-02,NT,android,0
2021-03-02,NT,ios,1
2021-03-02,NS,android,0
2021-03-02,NS,ios,0
2021-03-02,NU,android,0
2021-03-02,NU,ios,0
2021-03-02,ON,android,3
2021-03-02,ON,ios,2
2021-03-02,PE,android,0
2021-03-02,PE,ios,0
2021-03-02,QC,android,0
2021-03-02,QC,ios,1
2021-03-02,SK,android,0
2021-03-02,SK,ios,0
2021-03-02,YT,android,0
2021-03-02,YT,ios,0
2021-03-02,NPTS,android,0
2021-03-02,NPTS,ios,1
2021-03-03,AB,android,0
2021-03-03,AB,ios,0
2021-03-03,BC,android,0
2021-03-03,BC,ios,0
2021-03-03,MB,android,0
2021-03-03,MB,ios,0
2021-03-03,NB,android,0
2021-03-03,NB,ios,0
2021-03-03,NL,android,0
2021-03-03,NL,ios,0
2021-03-03,NT,android,0
2021-03-03,NT,ios,1
2021-03-03,NS,android,0
