date,count-nombre
2021-02-25,8
2021-02-26,17
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,1
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,2
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,1
2021-03-23,3
2021-03-24,23
2021-03-25,6
2021-03-26,6
2021-03-27,0
2021-03-28,0
2021-03-29,7
2021-03-30,0
2021-03-31,11
2021-04-01,0
2021-04-02,1
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,8
2021-04-07,0
2021-04-08,7
2021-04-09,4
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,1
2021-04-15,0
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,1
2021-04-24,0
2021-04-25,0
2021-04-26,1
2021-04-27,0
2021-04-28,0
2021-04-29,32
2021-04-30,26
2021-05-01,1
2021-05-02,0
2021-05-03,41
2021-05-04,31
2021-05-05,19
2021-05-06,31
2021-05-07,16
2021-05-08,0
2021-05-09,0
2021-05-10,24
2021-05-11,61
2021-05-12,46
2021-05-13,16
2021-05-14,3
2021-05-15,0
2021-05-16,0
2021-05-17,27
2021-05-18,10
2021-05-19,2
2021-05-20,7
2021-05-21,14
2021-05-22,0
2021-05-23,0
2021-05-24,0
2021-05-25,1
2021-05-26,1
2021-05-27,2
2021-05-28,0
2021-05-29,0
2021-05-30,0
2021-05-31,0
2021-06-01,0
2021-06-02,0
2021-06-03,2
2021-06-04,0
2021-06-05,0
2021-06-06,0
2021-06-07,1
2021-06-08,0
2021-06-09,1
2021-06-10,2
2021-06-11,0
2021-06-12,0
2021-06-13,0
2021-06-14,11
2021-06-15,6
2021-06-16,0
2021-06-17,2
2021-06-18,4
2021-06-19,0
2021-06-20,0
2021-06-21,1
2021-06-22,36
2021-06-23,47
2021-06-24,37
2021-06-25,0
2021-06-26,0
2021-06-27,0
2021-06-28,2
2021-06-29,20
2021-06-30,17
2021-07-01,0
2021-07-02,21
2021-07-03,0
2021-07-04,0
2021-07-05,0
2021-07-06,11
2021-07-07,0
2021-07-08,3
2021-07-09,11
2021-07-10,0
2021-07-11,0
2021-07-12,0
2021-07-13,0
2021-07-14,0
2021-07-15,0
2021-07-16,0
2021-07-17,0
2021-07-18,0
2021-07-19,0
2021-07-20,0
2021-07-21,0
2021-07-22,1
2021-07-23,0
2021-07-24,0
2021-07-25,0
2021-07-26,0
2021-07-27,5
2021-07-28,2
2021-07-29,25
2021-07-30,19
2021-07-31,1
2021-08-01,0
2021-08-02,0
2021-08-03,34
2021-08-04,101
2021-08-05,18
2021-08-06,0
2021-08-07,0
2021-08-08,0
2021-08-09,27
2021-08-10,0
2021-08-11,11
2021-08-12,1
2021-08-13,9
2021-08-14,0
2021-08-15,0
2021-08-16,0
2021-08-17,0
2021-08-18,0
2021-08-19,1
2021-08-20,9
2021-08-21,0
2021-08-22,0
2021-08-23,3
