date,os-se,app_version-version_appli,count-nombre
2021-02-28,android,1.2.1,<20
2021-02-28,android,9.9.9,<20
2021-02-28,ios,1.2.1,<20
2021-02-28,ios,9.9.9,<20
2021-03-31,android,1.2.1,<20
2021-03-31,android,1.2.2,<20
2021-03-31,android,1.2.4,<20
2021-03-31,android,1.2.5,<20
2021-03-31,android,1.2.6,<20
2021-03-31,android,9.9.9,<20
2021-03-31,ios,1.2.1,<20
2021-03-31,ios,1.2.2,<20
2021-03-31,ios,9.9.9,<20
2021-04-30,android,1.1.8,<20
2021-04-30,android,1.2.0,<20
2021-04-30,android,1.2.6,<20
2021-04-30,android,1.2.7,<20
2021-04-30,android,1.2.8,<20
2021-04-30,android,1.2.9,<20
2021-04-30,android,9.9.9,<20
2021-04-30,ios,1.1.8,<20
2021-04-30,ios,1.2.0,<20
2021-04-30,ios,1.2.1,<20
2021-04-30,ios,1.2.7,<20
2021-04-30,ios,1.2.9,<20
2021-04-30,ios,6.6.6,<20
2021-04-30,ios,9.9.9,<20
2021-05-31,android,1.1.8,<20
2021-05-31,android,1.2.0,<20
2021-05-31,android,1.2.8,<20
2021-05-31,android,1.2.9,<20
2021-05-31,android,1.2.10,<20
2021-05-31,android,2.0.0,<20
2021-05-31,android,9.9.9,<20
2021-05-31,ios,1.1.8,<20
2021-05-31,ios,1.2.0,<20
2021-05-31,ios,1.2.8,<20
2021-05-31,ios,1.2.9,147923
2021-05-31,ios,1.2.10,<20
2021-05-31,ios,1.4.1,<20
2021-05-31,ios,1.5.0,<20
2021-05-31,ios,1.123.123,<20
2021-05-31,ios,6.6.6,<20
2021-05-31,ios,9.9.9,<20
2021-06-30,android,1.1.8,<20
2021-06-30,android,1.2.8,<20
2021-06-30,android,1.2.10,<20
2021-06-30,android,2.0.0,<20
2021-06-30,android,9.9.9,<20
2021-06-30,ios,1.1.8,<20
2021-06-30,ios,1.2.8,<20
2021-06-30,ios,1.2.9,6229
2021-06-30,ios,1.2.10,<20
2021-06-30,ios,1.3.1,<20
2021-06-30,ios,1.4.1,<20
2021-06-30,ios,2.0.0,<20
2021-07-31,android,1.2.8,<20
2021-07-31,android,2.0.0,<20
2021-07-31,ios,1.2.8,<20
2021-07-31,ios,1.2.9,2361
2021-07-31,ios,2.0.0,<20
