date,number_of_checks-no_verification,os-se,count-nombre
2021-03-31,0,android,0
2021-03-31,0,ios,0
2021-03-31,1-6,android,7
2021-03-31,1-6,ios,0
2021-03-31,7-12,android,12
2021-03-31,7-12,ios,0
2021-03-31,13-30,android,16
2021-03-31,13-30,ios,0
2021-03-31,30+,android,7
2021-03-31,30+,ios,0
2021-04-30,0,android,0
2021-04-30,0,ios,0
2021-04-30,1-6,android,8
2021-04-30,1-6,ios,10
2021-04-30,7-12,android,8
2021-04-30,7-12,ios,23
2021-04-30,13-30,android,6
2021-04-30,13-30,ios,6
2021-04-30,30+,android,1
2021-04-30,30+,ios,0
2021-05-31,0,android,0
2021-05-31,0,ios,0
2021-05-31,1-6,android,31
2021-05-31,1-6,ios,76
2021-05-31,7-12,android,17
2021-05-31,7-12,ios,141
2021-05-31,13-30,android,24
2021-05-31,13-30,ios,25
2021-05-31,30+,android,12
2021-05-31,30+,ios,0
2021-06-30,0,android,0
2021-06-30,0,ios,0
2021-06-30,1-6,android,21
2021-06-30,1-6,ios,46
2021-06-30,7-12,android,20
2021-06-30,7-12,ios,73
2021-06-30,13-30,android,13
2021-06-30,13-30,ios,3
2021-06-30,30+,android,13
2021-06-30,30+,ios,0
2021-07-31,0,android,0
2021-07-31,0,ios,0
2021-07-31,1-6,android,36
2021-07-31,1-6,ios,72
2021-07-31,7-12,android,25
2021-07-31,7-12,ios,169
2021-07-31,13-30,android,12
2021-07-31,13-30,ios,0
2021-07-31,30+,android,4
2021-07-31,30+,ios,0
2021-08-31,0,android,0
2021-08-31,0,ios,0
2021-08-31,1-6,android,61
2021-08-31,1-6,ios,85
2021-08-31,7-12,android,20
2021-08-31,7-12,ios,139
2021-08-31,13-30,android,5
2021-08-31,13-30,ios,3
2021-08-31,30+,android,4
2021-08-31,30+,ios,0
