date,number_of_checks-no_verification,os-se,count-nombre
2021-03-31,0,android,0
2021-03-31,0,ios,0
2021-03-31,1-6,android,7
2021-03-31,1-6,ios,0
2021-03-31,7-12,android,12
2021-03-31,7-12,ios,0
2021-03-31,13-30,android,16
2021-03-31,13-30,ios,0
2021-03-31,30+,android,7
2021-03-31,30+,ios,0
2021-04-30,0,android,0
2021-04-30,0,ios,0
2021-04-30,1-6,android,8
2021-04-30,1-6,ios,10
2021-04-30,7-12,android,8
2021-04-30,7-12,ios,23
2021-04-30,13-30,android,6
2021-04-30,13-30,ios,6
2021-04-30,30+,android,1
2021-04-30,30+,ios,0
2021-05-31,0,android,0
2021-05-31,0,ios,0
2021-05-31,1-6,android,31
2021-05-31,1-6,ios,77
2021-05-31,7-12,android,17
2021-05-31,7-12,ios,146
2021-05-31,13-30,android,24
2021-05-31,13-30,ios,25
2021-05-31,30+,android,12
2021-05-31,30+,ios,0
2021-06-30,0,android,0
2021-06-30,0,ios,0
2021-06-30,1-6,android,39
2021-06-30,1-6,ios,47
2021-06-30,7-12,android,32
2021-06-30,7-12,ios,98
2021-06-30,13-30,android,15
2021-06-30,13-30,ios,3
2021-06-30,30+,android,13
2021-06-30,30+,ios,0
2021-07-31,0,android,0
2021-07-31,0,ios,0
2021-07-31,1-6,android,60
2021-07-31,1-6,ios,78
2021-07-31,7-12,android,61
2021-07-31,7-12,ios,194
2021-07-31,13-30,android,12
2021-07-31,13-30,ios,0
2021-07-31,30+,android,4
2021-07-31,30+,ios,0
2021-08-31,0,android,0
2021-08-31,0,ios,0
2021-08-31,1-6,android,103
2021-08-31,1-6,ios,88
2021-08-31,7-12,android,38
2021-08-31,7-12,ios,145
2021-08-31,13-30,android,5
2021-08-31,13-30,ios,3
2021-08-31,30+,android,4
2021-08-31,30+,ios,0
2021-09-30,0,android,0
2021-09-30,0,ios,0
2021-09-30,1-6,android,87
2021-09-30,1-6,ios,63
2021-09-30,7-12,android,53
2021-09-30,7-12,ios,117
2021-09-30,13-30,android,5
2021-09-30,13-30,ios,0
2021-09-30,30+,android,4
2021-09-30,30+,ios,0
