date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-03-31,1-6,android,1.2.2,5
2021-03-31,1-6,android,1.2.4,2
2021-03-31,1-6,android,9.9.9,26
2021-03-31,1-6,ios,9.9.9,27
2021-03-31,13-30,android,1.2.2,5
2021-03-31,13-30,android,1.2.4,11
2021-03-31,13-30,android,9.9.9,28
2021-03-31,30+,android,1.2.2,3
2021-03-31,30+,android,1.2.4,4
2021-03-31,30+,android,9.9.9,10
2021-03-31,7-12,android,1.2.2,4
2021-03-31,7-12,android,1.2.4,8
2021-03-31,7-12,android,9.9.9,12
2021-03-31,7-12,ios,9.9.9,54
2021-04-30,1-6,android,1.2.7,8
2021-04-30,1-6,android,9.9.9,10
2021-04-30,1-6,ios,1.2.7,9
2021-04-30,1-6,ios,1.2.9,1
2021-04-30,1-6,ios,9.9.9,45
2021-04-30,13-30,android,1.2.0,1
2021-04-30,13-30,android,1.2.6,1
2021-04-30,13-30,android,1.2.7,4
2021-04-30,13-30,android,9.9.9,12
2021-04-30,13-30,ios,1.2.7,3
2021-04-30,13-30,ios,1.2.9,3
2021-04-30,13-30,ios,9.9.9,10
2021-04-30,30+,android,1.2.8,1
2021-04-30,30+,android,9.9.9,6
2021-04-30,30+,ios,9.9.9,2
2021-04-30,7-12,android,1.2.6,5
2021-04-30,7-12,android,1.2.7,2
2021-04-30,7-12,android,1.2.8,1
2021-04-30,7-12,android,9.9.9,8
2021-04-30,7-12,ios,1.2.1,2
2021-04-30,7-12,ios,1.2.7,20
2021-04-30,7-12,ios,1.2.9,1
2021-04-30,7-12,ios,9.9.9,120
2021-05-31,1-6,android,1.2.8,2
2021-05-31,1-6,android,1.2.9,24
2021-05-31,1-6,android,1.2.10,5
2021-05-31,1-6,android,9.9.9,5
2021-05-31,1-6,ios,1.2.0,5
2021-05-31,1-6,ios,1.2.8,5
2021-05-31,1-6,ios,1.2.9,52
2021-05-31,1-6,ios,1.2.10,14
2021-05-31,13-30,android,1.2.0,2
2021-05-31,13-30,android,1.2.8,7
2021-05-31,13-30,android,1.2.9,14
2021-05-31,13-30,android,1.2.10,1
2021-05-31,13-30,android,9.9.9,1
2021-05-31,13-30,ios,1.2.0,1
2021-05-31,13-30,ios,1.2.9,15
2021-05-31,13-30,ios,1.2.10,9
2021-05-31,30+,android,1.2.8,2
2021-05-31,30+,android,1.2.9,10
2021-05-31,7-12,android,1.2.0,1
2021-05-31,7-12,android,1.2.8,2
2021-05-31,7-12,android,1.2.9,13
2021-05-31,7-12,android,1.2.10,1
2021-05-31,7-12,android,9.9.9,1
2021-05-31,7-12,ios,1.2.8,3
2021-05-31,7-12,ios,1.2.9,101
2021-05-31,7-12,ios,1.2.10,34
2021-05-31,7-12,ios,9.9.9,10
2021-06-30,1-6,android,1.2.8,1
2021-06-30,1-6,android,2.0.0,11
2021-06-30,1-6,android,9.9.9,1
2021-06-30,1-6,ios,1.1.8,10
2021-06-30,1-6,ios,1.2.10,1
2021-06-30,1-6,ios,2.0.0,27
2021-06-30,13-30,android,1.2.8,2
2021-06-30,13-30,android,2.0.0,10
2021-06-30,13-30,ios,1.2.10,3
2021-06-30,30+,android,1.2.8,6
2021-06-30,30+,android,2.0.0,7
2021-06-30,7-12,android,1.2.8,10
2021-06-30,7-12,android,2.0.0,4
2021-06-30,7-12,ios,1.1.8,14
2021-06-30,7-12,ios,1.2.8,3
2021-06-30,7-12,ios,1.2.10,2
2021-06-30,7-12,ios,2.0.0,35
