date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-03-31,1-6,android,1.2.2,5
2021-03-31,1-6,android,1.2.4,2
2021-03-31,13-30,android,1.2.2,5
2021-03-31,13-30,android,1.2.4,11
2021-03-31,30+,android,1.2.2,3
2021-03-31,30+,android,1.2.4,4
2021-03-31,7-12,android,1.2.2,4
2021-03-31,7-12,android,1.2.4,8
2021-04-30,1-6,android,1.2.7,8
2021-04-30,1-6,ios,1.2.7,9
2021-04-30,1-6,ios,1.2.9,1
2021-04-30,13-30,android,1.2.0,1
2021-04-30,13-30,android,1.2.6,1
2021-04-30,13-30,android,1.2.7,4
2021-04-30,13-30,ios,1.2.7,3
2021-04-30,13-30,ios,1.2.9,3
2021-04-30,30+,android,1.2.8,1
2021-04-30,7-12,android,1.2.6,5
2021-04-30,7-12,android,1.2.7,2
2021-04-30,7-12,android,1.2.8,1
2021-04-30,7-12,ios,1.2.1,2
2021-04-30,7-12,ios,1.2.7,20
2021-04-30,7-12,ios,1.2.9,1
2021-05-31,1-6,android,1.2.8,2
2021-05-31,1-6,android,1.2.9,24
2021-05-31,1-6,android,1.2.10,5
2021-05-31,1-6,ios,1.2.0,5
2021-05-31,1-6,ios,1.2.8,5
2021-05-31,1-6,ios,1.2.9,52
2021-05-31,1-6,ios,1.2.10,14
2021-05-31,1-6,ios,2.0.0,1
2021-05-31,13-30,android,1.2.0,2
2021-05-31,13-30,android,1.2.8,7
2021-05-31,13-30,android,1.2.9,14
2021-05-31,13-30,android,1.2.10,1
2021-05-31,13-30,ios,1.2.0,1
2021-05-31,13-30,ios,1.2.9,15
2021-05-31,13-30,ios,1.2.10,9
2021-05-31,30+,android,1.2.8,2
2021-05-31,30+,android,1.2.9,10
2021-05-31,7-12,android,1.2.0,1
2021-05-31,7-12,android,1.2.8,2
2021-05-31,7-12,android,1.2.9,13
2021-05-31,7-12,android,1.2.10,1
2021-05-31,7-12,ios,1.2.8,3
2021-05-31,7-12,ios,1.2.9,101
2021-05-31,7-12,ios,1.2.10,34
2021-05-31,7-12,ios,2.0.0,8
2021-06-30,1-6,android,1.2.8,1
2021-06-30,1-6,android,1.5.3,9
2021-06-30,1-6,android,2.0.0,11
2021-06-30,1-6,ios,1.1.8,10
2021-06-30,1-6,ios,1.2.10,1
2021-06-30,1-6,ios,2.0.0,36
2021-06-30,13-30,android,1.2.8,2
2021-06-30,13-30,android,1.5.3,1
2021-06-30,13-30,android,2.0.0,10
2021-06-30,13-30,ios,1.2.10,3
2021-06-30,30+,android,1.2.8,6
2021-06-30,30+,android,2.0.0,7
2021-06-30,7-12,android,1.2.8,10
2021-06-30,7-12,android,1.5.3,6
2021-06-30,7-12,android,2.0.0,4
2021-06-30,7-12,ios,1.1.8,14
2021-06-30,7-12,ios,1.2.8,3
2021-06-30,7-12,ios,1.2.10,2
2021-06-30,7-12,ios,2.0.0,79
2021-07-31,1-6,android,1.2.8,4
2021-07-31,1-6,android,1.5.3,12
2021-07-31,1-6,android,2.0.0,20
2021-07-31,1-6,ios,2.0.0,78
2021-07-31,13-30,android,1.2.8,3
2021-07-31,13-30,android,2.0.0,9
2021-07-31,30+,android,1.2.8,1
2021-07-31,30+,android,2.0.0,3
2021-07-31,7-12,android,1.2.8,2
2021-07-31,7-12,android,1.5.3,18
2021-07-31,7-12,android,2.0.0,5
2021-07-31,7-12,ios,2.0.0,194
2021-08-31,1-6,android,1.2.8,5
2021-08-31,1-6,android,1.5.3,54
2021-08-31,1-6,android,2.0.0,2
2021-08-31,1-6,ios,1.5.1,4
2021-08-31,1-6,ios,1.5.3,26
2021-08-31,1-6,ios,2.0.0,58
2021-08-31,13-30,android,1.2.8,1
2021-08-31,13-30,android,1.5.3,4
2021-08-31,13-30,ios,2.0.0,3
2021-08-31,30+,android,1.2.8,1
2021-08-31,30+,android,1.5.3,3
2021-08-31,7-12,android,1.2.8,3
2021-08-31,7-12,android,1.5.1,1
2021-08-31,7-12,android,1.5.3,15
2021-08-31,7-12,android,2.0.0,1
2021-08-31,7-12,ios,1.5.3,49
2021-08-31,7-12,ios,2.0.0,96
2021-09-30,1-6,android,1.1.1,1
2021-09-30,1-6,android,1.5.3,60
2021-09-30,1-6,ios,1.5.3,18
2021-09-30,1-6,ios,2.0.0,45
2021-09-30,13-30,android,1.1.1,1
2021-09-30,13-30,android,1.5.3,4
2021-09-30,30+,android,1.5.3,4
2021-09-30,7-12,android,1.1.1,2
2021-09-30,7-12,android,1.5.3,19
2021-09-30,7-12,ios,1.5.3,31
2021-09-30,7-12,ios,2.0.0,86
